Designator,MidX,MidY,Rot,Side
C1,238.71,-98.87,90,B
C2,240.31,-98.88,90,B
C3,228.6,-156.995,180,B
C4,228.62,-162.185,180,B
C5,239.94,-155.76,180,B
C6,208.1,-148.16,270,B
C7,207.24,-161.88,90,B
C8,205.26,-149.905,270,B
C9,202.07,-149.905,270,B
C10,208.65,-145.83,180,B
C11,201.81,-152.58,0,B
C12,199.085,-156.88,0,B
C13,210.27,-162.6,180,B
C14,214.16,-157.02,180,B
C15,214.16,-155.27,180,B
C16,203.64,-149.91,270,B
D1,263.3,-163.8,160,B
D2,281.6,-170.4,160,B
D3,274.5,-188,160,B
D4,268.386677,-205.959121,160,B
D5,262.9,-193.05,250,B
D6,244.9,-186.75,250,B
D7,235.65,-76.8,180,B
D8,235.77,-95.64,180,B
D9,235.6,-114.8,180,B
D10,235.55,-134,180,B
D11,235.6,-152.9,180,B
D12,216.7,-74.2,180,B
D13,216.55,-93.4,180,B
D14,216.5,-112.6,180,B
D15,216.6,-131.6,180,B
D16,216.6,-150.6,180,B
D17,197.65,-71.7,180,B
D18,197.45,-91,180,B
D19,197.45,-110,180,B
D20,197.25,-129.1,180,B
D21,197.45,-148.1,180,B
D22,178.45,-74.3,180,B
D23,178.4,-93.5,180,B
D24,178.35,-112.6,180,B
D25,178.2,-131.7,180,B
D26,178.2,-150.8,180,B
D27,159.25,-79.5,180,B
D28,159.25,-98.4,180,B
D29,159.3,-117.6,180,B
D30,159.2,-136.7,180,B
D31,159.1,-155.8,180,B
D32,140.05,-82.1,180,B
D33,140.15,-100.95,180,B
D34,140.25,-120,180,B
D35,140.25,-139.1,180,B
D36,140.25,-158.1,180,B
D37,115.95,-81.85,180,B
D38,116.05,-100.9,180,B
D39,116.05,-119.9,180,B
D40,116.05,-139,180,B
D41,121.25,-158,180,B
D42,249.55,-89.8075,270,B
J1,240.31,-56.655,180,B
J2,245.805,-78.98,0,B
R1,248.7,-62.3,90,B
R2,238,-63.65,0,B
R3,243.09,-63.63,180,B
R4,245.66,-153.19,180,B
R5,214.11,-162.03,0,B
R6,212.6,-141.625,270,B
R7,211,-141.63,270,B
R8,247.2,-104.91,90,B
R9,250.53,-104.87,90,B
SW42,201.32,-161.55,180,B
SW43,250.04,-155.74,180,B
U1,246.3,-97.46,180,B
U2,242.76,-159.8,0,B
U3,208.03,-155.87,0,B
Y1,228.66,-159.575,0,B
